sentence,keyword
"_   ,English people will spend much time for Christmas.",['for']
An owl looks clever because  _  .,['because']
"In London, the government has decided to provide bikes for local people to rent in order to solve   _  .",['for']
"e choose traveling by car for pleasant trips, while they usually take trains or planes for business.According to the passage, the fastest way of traveling is    _   .","['or', 'for']"
"If we travel by car, we can    _   .",['if']
_    have comfortable seats and dinning-cars.,['and']
"If possible, people like traveling by sea because     _    .","['because', 'if']"
Kate and his parents usually   _   together in the morning.,['and']
Chen Feng's teacher is going to   _   if Chen Feng's team wins the game.,['if']
Both Chen Feng and Kate   _  .,['and']
"At first, Michael Jordan played  _  instead of basketball.",['instead']
Psychologists study the meaning of color preference because   _   .,['because']
EO-1 takes photographs of the same places as Landsat because   _  .,"['because', 'as']"
Lester stopped in the street because   _   .,['because']
The stranger paid   _   for the watch .,['for']
Students don't take   _   to school for lunch.,['for']
The writer always went to the library because   _  .,['because']
The little monkey and the little fox wanted to  _  on the other side of the river.,['and']
The fox kicked the tree into the river because he wanted to  _  .,['because']
The fox could not come back because  _  .,['because']
The fox was sad because  _  .,['because']
We only need   _   if we want to join Walk With A Doc.,['if']
What does Bob's wife give him for dinner?,['for']
It's not easy to be a taxi driver in London because   _  .,['because']
Children who go for a day at the sea   _  .,['for']
Robert stopped watching TV because he wanted to   _  .,['because']
Robert felt   _   after he stopped watching TV.,['after']
Henry didn't have much schooling because   _  .,['because']
Many people don't like rain because it makes them feel  _  .,['because']
Len told Santi something terrible would happen if he   _  .,['if']
Santi thought the cat might be in the kitchen because   _,['because']
The food in the restaurant is free because that day was  _  birthday.,['because']
Betty is very happy because she will   _   with her parents.,['because']
"After they visit Beijing, they will go to   _  .",['after']
What's more important for senior school students?,['for']
"In a football match, Team A gets 0 and Team B gets 2, then   _  .",['and']
The main difference between team sports and individual sports is that   _  .,['and']
How can the students at East China University of Science and Technology get a coupon?,['and']
"In some universities, if you can't finish all your food, you can   _  .",['if']
"In order to reduce the waste, universities do a lot of things except   _  .",['except']
"According to the passage, how long will you feel if you stay in a red room for an hour?","['if', 'for']"
What do you think the writer will do next National Day?,['next']
She had to wear metal supports on her legs to stand up on her own because   _  .,['because']
Her mother took her for swimming lessons every week   _  .,['for']
"In 1990, Annette swam in the Paris Olympics and won two   _  .",['and']
What did Bobby Lewis and his sons want to do?,['and']
"If Mr. and Mrs Smith take their 3-year-old son and ten-year-old daughter to play golf, how much should they pay?","['if', 'and']"
"If a team wants to get points, it has to move the ball   _  .",['if']
Who are dancing and jumping while they yell?,['and']
The wise man was lost in thought because  _  .,['because']
_  is the special kind of food for the Spring Festival in China.,['for']
"What's the meaning of the food ""dumplings"" for Chinese people in the Spring Festival?",['for']
Which of the following is classed as short-sightedness according to the passage?,['as']
Young people like Hip-pop dancing because   _  .,['because']
"If a penguin is in a group, it   _  .",['if']
"The word ""tomb"" probably means the same as the word ""  _  "" in the passage.",['as']
Which of the following do you think is the best title for the passage ?,['for']
"For most teenagers of the  21stcentury ,making a new home of their own may be   _  .",['for']
One should enter the Little Rock Zoo before  _  .,['before']
"If 9-year- old Peter goes to the Little Rock Zoo with his parents , they need to pay   _  .",['if']
This letter is for  _  .,['for']
Why do Carol and Susan often go to each other's home? Because   _  .,"['because', 'and']"
The following are what the people of the village did for Greg Mortenson EXCEPT_.,['for']
Which is not regarded as the most important day for teenagers?,"['as', 'for']"
"When you are   _  years old, you must be responsible for what you have done in laws.",['for']
The small boy's foot hurt because   _  .,['because']
The small boy took the poultice off because   _  .,['because']
Mr.Jenkins was often asked to dinner because  _  .,['because']
It was difficult for Mr.Jenkins to do everything.so  _  .,['for']
Frank works as a   _  .,['as']
What did the daughter do the next day?,['next']
The best title for the passage is   _   .,['for']
The taller boy slapped the shorter one in the face because  _  .,['because']
What did the shorter boy do after he was saved?,['after']
Using Wechat could be dangerous because   _,['because']
What do you think is the best title for this passage?,['for']
What haven't Felipe and his friends decided?,['and']
"Some countries, like the United Arab Emirates, have to import most of their food because of   _  .",['because']
Students in Tom's school   _   read and play after school.,"['after', 'and']"
The most important reason for learning to swim is that   _  .,['for']
The passage is mainly about   _   before you are 18.,['before']
Tom and Tony are  _  .,['and']
What sport do Gina and her brother like to play?,['and']
What may happen if students chew gum in class?,['if']
It can be learned that   _   is probably the last choice for UK students to study abroad.,['for']
"The best title  for this passage is ""  _",['for']
"As the student kept saying ""No"", the American boy   _  .",['as']
"In the west, if you meet a friend who wears a really beautiful dress, you may say ""  _  "".",['if']
"Why does a man in the west who asks for a job say something like ""Yes, I can certainly do it""?",['for']
Li Hua didn't go to school because  _  .,['because']
Which is not mentioned about the harm of fog and haze?,['and']
"To stop the fog and haze, which is not true according to the passage?",['and']
"After they got married, Mr and Mrs Green    _    .","['after', 'and']"
"According to the writer's advice , before students study in America , they should  _  .",['before']
"The woman couldn't understand the ""note"". Because  _  .",['because']
"Information is collected through the  _  of sight,hearing,smell,taste and touch.",['and']
"If a school child is not interested in a subject,  _  .",['if']
The two girls and John were in the same  _  .,['and']
John  _  with the shopping certificate after the party.,['after']
Mrs Black and Linda are   _  .,['and']
"From the Chang'e story, we can learn the following EXCEPT   _  .",['except']
John doesn't ask his father to buy him a bike because   _  .,['because']
John   _   after the school sports meeting.,['after']
John's grandma wasn't happy because   _  .,['because']
How much will it cost a family of three for a day in Shanghai Disney Resort?   _  .,['for']
Tom was now in difficulties because he   _  .,['because']
Tom went to Mr.White for help   _  .,['for']
Li Ming Wins   _   for walking.,['for']
"Which personality type may be better for our health, according to the research?",['for']
Nancy doesn't go to school because   _  .,['because']
The 3 or 4-year-old children are so  _   that you can hold them with your single arm.,['or']
_   saw the email and photos on the webpage and arranged the meeting.,['and']
"New Zealand is   _   for Chinese fans after the show Where Are We Going, Dad?","['after', 'for']"
"From the passage, we know that New Zealand is a travel destination for   _  .",['for']
When does the writer's mother make cakes for her?,['for']
How many eggs and how much fruit do we need to make a cake?,['and']
"Some people are also predators, they hunt and kill more animals for   _  .","['and', 'for']"
"Among the sharks, the tigers, the polar bears and some people, which are the most dangerous predators on earth?",['and']
You should   _   when you feel like sleeping after lunch.,['after']
The proper period of time for taking a nap is  _  .1*cn*jy*com,['for']
What number may you call if you and your friends want to enjoy the sunshine at the seaside?,"['if', 'and']"
"Sam wants to stay in Hunter Valley with his wife, his five-year-old daughter and his seven-year-old son. How much will  it cost?",['and']
What did Dick do the next morning when he found the bridge was damaged?,['next']
"According to the passage, Switzerland is famous for  _  .",['for']
The headwaiter didn't believe Mr. Yuen because   _  .,['because']
What does Mr. Yuen want to pay for now?,['for']
Many cars went into the hole because the drivers   _  .,['because']
The shop waiter laughs because he   _  .,['because']
How long does it take Li Peng to read English after breakfast?,['after']
Why were the animals afraid of the lion?  Because the lion   _  .,['because']
The four bulls went their own way because  _  .,['because']
What is the solution of salt and water for?,['and']
"If the solution is not salty enough,   _  .",['if']
What does Ellen do for her mother?,['for']
The boy could win all the matches mainly because   _  .,['because']
"According to Paragraph 2, what would overjoy John most the next year?",['next']
"You know a lot about English, but maybe  _  it.",['but']
"If you want to be a football player, please  _  .",['if']
"The best title for the passage is""  _  "".",['for']
Henry gets less money because   _   .,['because']
Henry has to cut down the trees because   _   .,['because']
"Now Mr Smith is in the zoo with his two sons, one aged 14 and the other 10. How much are the tickets together?",['and']
"Kate, Wei Hua and Lily are all in Grade  _  .",['and']
"In the writer's opinion, an emergency plan for a fire should be made early   _  .",['for']
"If it is a long time since the fire alarm sounded, the proper thing to do is   _  .",['if']
You can do the following in Snow City EXCEPT   _  .,['except']
Bob and his 5-year-old daughter want to visit Snow City. They should prepare  _   for the tickets.,"['and', 'for']"
How many years have we heard the warnings? For nearly   _  years.,['for']
"On Saint Patrick's Day, you can see the following EXCEPT   _  .",['except']
Steven Spielberg's movies are about the following except   _  .,['except']
English people will think you are rude if you   _  .,['if']
What will you do if you meet people for the first time?,"['if', 'for']"
What will you say if you are in someone's way?,['if']
Rachel Ray and the other   _  teen cooks made some wonderful food that night.,['and']
This program is quite different from other food shows because it has more features of   _  .,['because']
There are  _  students and  _  teachers in Jack's school.,['and']
"After reading the passage, what do you think the artist would probably do?",['after']
"J.K. Rowling has been successful, and she   _  .",['and']
People still can't make a(n)  _  with a 3-D printer so far.,['still']
A 24-year-old woman in Nanjing was given a warning ticket for   _   on the subway.,['for']
Where does the idea for the holiday come from?,['for']
Some Chinese people have money left in the bank because   _  .,['because']
The best title for the passage would probably be   _  .,['for']
What does Laura usually do after coming back from work?,['after']
Mr. Coates stayed in the lift for  _  .,['for']
Why could Mr. Coates not get out of the lift? Because   _  .,['because']
Which is NOT mentioned about the arguments between parents and teenagers?,['and']
Before games it is good for you to eat   _  .,"['before', 'for']"
Where were Ladislao and Georg Biro from?,['and']
John's mother doesn't give him chocolates because  _  .,['because']
Who sometimes buys some chocolates for John?,['for']
"When the old man buys chocolates for John, his mother usually   _  .",['for']
John shouts loudly for chocolates because   _  .,"['because', 'for']"
Some students think math class is very tiring because   _,['because']
"If you want to do better in math, you should NOT  _  .",['if']
Becky and her brother are   _  .,['and']
Becky and Jack look like   _,['and']
Mike feels nervous in English classes because   _  .,['because']
"In the editor's opinion, the English teacher asked Mike to stand for a while because   _  .","['because', 'for']"
The teacher will   _   if Mike has a talk with her.,['if']
The airport was built out into the sea because   _  .,['because']
The young man returned to the doctor's office the next day because  _,"['because', 'next']"
"If you   _   , you can speak well.",['if']
How many tigers and monkeys are there in the story?,['and']
Why do other animals get food for the tiger?,['for']
"If eight children`s father couldn`t afford the tickets to the circus,   _  .",['if']
"The writer`s father didn`t give the money to the man directly, because  _  .",['because']
What did he want for his birthday gift?,['for']
Why did Andy feel sorry for himself?,['for']
"After school, she likes to   _",['after']
"After you choose your fruits, you should   _  .",['after']
There are   _   steps before you eat fruit salad.,['before']
They buy   _   for Gina.,['for']
How does the writer like the ads in the newspapers or magazines?,['or']
Did the team she played for win the gold medal in London Olympics?,['for']
"For an extraordinary people, if he makes a mistake, what will he do?","['if', 'for']"
"Something unhappy happens, and you have to make a decision. What  shouldn't  you do?",['and']
Uma and her family did all of the following things for the writer and Barry EXCEPT   _  .,"['except', 'and', 'for']"
The astronauts don't know how long they will stay in the bag in the test because   _  .,['because']
"If you'd like to have a good holiday and enjoy the sunshine, where will you go?","['if', 'and']"
"If you want to start the talk easily, you should say something   _   at the beginning.",['if']
"When you finish the talk, you should   _   your parents for listening.",['for']
Why does the conductor look at the small boy for a few seconds?,['for']
Why does the conductor stop the mother and let the boy say?,['and']
The students felt encouraged because   _  .,['because']
What kind of animals eat bread and bananas?,['and']
People can do the following on Facebook except   _  .,['except']
Idian and Chinese children do better in their lessons. Why?,['and']
Jack is late for school because   _  .,"['because', 'for']"
What do you think of Jack after reading the story?,['after']
Oliver is   _   and can speak English very well.,['and']
Chen Lin drew a picture for  _  .,['for']
You can be friends and  _  with Oliver and Chen Lin.,['and']
Danny and Amy have   _   hair.,['and']
The best title for this passage should be   _  .,['for']
One difference between green tea and black tea is that green tea   _  .,['and']
Peter likes this afternoon because   _  .,['because']
Joy's baseball and basketball are  _  .,['and']
The writer gives you advice that you should talk to the people you don't like because  _  .,['because']
"For breakfast, Mike has  _  .",['for']
He has   _   for lunch.,['for']
"From the passage, we know people should try not to   _   all the time if they want to keep healthy.",['if']
Where can we go if we want to learn music?,['if']
"If you and your parents visit National Park, how much should you pay?","['if', 'and']"
The old man was sad because,['because']
Hellen Keller was famous because  _  .,['because']
Mr. Black can't take his family to travel abroad because   _  .,['because']
Good Web sites for children can   _  .,['for']
What colour are their eyes and hair?,['and']
"Finally,the fire was out because there wasn't   _   left to burn it   _  .",['because']
Many people likes him because   _  .,['because']
Bill Gates went to the ExCel Centre to watch a game between Ariel Hsing and  _  .,['and']
"Soap operas have the word ""soap"" in the name because   _  .",['because']
Bill and Li Lei are   _  .,['and']
Who looks after Bill at school?    _  .,['after']
The parents can be in the school for   _   hours.,['for']
Many experts say students learn more   _  when they read for pleasure.,['for']
"From the passage, we know pleasure reading makes it the most impossible for each student to  _  .",['for']
One day Mr.Green did not stop and give the poor man a penny because  _  .,"['because', 'and']"
Xiao Fang didn't go to school when she was younger because  _  .,['because']
Xiao Fang is studying in a school because   _  .,['because']
It's very nice for this school to have   _  .,['for']
After class the students often go to   _  .,['after']
The author didn't tell Grandpa his love because   _   to say love to Grandpa before.,['because']
What does Peter like doing best after school?,['after']
"Besides alcohol,  _   is another kind of popular antifreeze.",['besides']
What will we learn if we are thankful for the things we have every day?,"['if', 'for']"
Health foods are usually packed in colors Except   _  .,['except']
"If a new product costs $ 60, how much money may be spent on packaging?",['if']
Bahia Bakari had been staying in the water for more than   _  .,['for']
Ontario is an excellent place for you to   _  .,['for']
"You can choose   _   as your destination, if you have a six-day-off holiday in March.","['if', 'as']"
He decided to write a new medical book because there were  _  .,['because']
He often traveled long way for  _  .,['for']
Justin hated Christmas because   _  .,['because']
"Elisa thinks if students push in chairs after class,  _  .","['if', 'after']"
SMS can help people do the followings except  _  .,['except']
The first thing for you to do before you buy clothes is  _  .               .,"['before', 'for']"
The main idea for the passage is   _  .                           .,['for']
Many people went to Sara's birthday party EXCEPT  _  .,['except']
The writer's father will be  _  years old next year.,['next']
The writer's father  _  after breakfast.,['after']
The police officers watched many places except   _  .,['except']
"If a driver drinks a glass of beer before driving in China,  _","['before', 'if']"
The passage tells us that mountain-climbing was    _    for the father and the son.,"['and', 'for']"
"The Frenchman said, ""I want something for my 'cow', please."" Here by the word ""cow"" he meant   _  .",['for']
"Near the North Pole, there's no night in summer for more than  _  months.",['for']
Douglas drew the picture of a hand because   _  .,['because']
Which of the following is cause and effect?,['and']
What is the best title for the next?,['for']
What's the best title for the passage?   _  .,['for']
Many Japanese children set up camps in far-off mountains or forests to   _  .,['or']
Children in Japan now hardly find times of hardships because   _  .,['because']
"In China, people grow GM plants for sale like   _  .",['for']
Why did Mr. Clark often forget his family's birthdays? Because  _  .,['because']
He bought   _  for his wife's birthday this time.,['for']
The writer found the students level was   _   she expected after the first test.,['after']
Which invention is most helpful for someone waiting for a train?,['for']
If you want to know how your breath is. you may buy   _  .,['if']
Where are Bruce and his parents now?,['and']
Countries build pavilions to show us   _   with colorful exhibitions and performances.,['and']
How does Mr. Green feel after he hears the old man's words?,['after']
The writer thinks your room is messy because you are  _  .,['because']
Which is right according to the book Organizing from the Inside Out for Teens?,['for']
The bookOrganizing from the Inside Out for Teens probably helps   _   most.,['for']
People like to go to the supermarket for  _  reason(s)   .,['for']
"Which of the following expressions has the same meaning with ""As easy as falling off a log?",['as']
The young man couldn't go to sleep because  _  .,['because']
The young man returned to the doctor's office the next day because  _  .,"['because', 'next']"
Where do the tallest man and the shortest man in the world come from?,['and']
Who may influence you more than anyone else you will meet according to the passage?,['else']
Your parents will be unhappy if you    _    .,['if']
The passage is mainly about a website for helping people   _  .,['for']
Castle logs into the health website because   _  .,['because']
Why did the writer and Chris go to Brisbane?,['and']
Luke decided to audition for the show because   _  .,"['because', 'for']"
"According to the passage, if you want to be a teacher,   _  .",['if']
The key words for the passage are   _  .,['for']
"You can say ""  _  !"" if you don't want some people say bad things about you.",['if']
"If a person lives from hand to mouth, he must be very   _  .",['if']
"According to the passage,men can't fly like birds because  _  .",['because']
We don't hear the flying jet plane's noise until it has gone because  _  .,"['because', 'until']"
The manager said that he was sorry because   _  .,['because']
The four blacks didn't leave the restaurant because   _  .,['because']
"If there was a fire near their home, the groups of ants would  _  .",['if']
"After reading this, we know this is    _    .",['after']
Mary and Jack are  _  .,['and']
What does Li Ming do after school?,['after']
Tom and his cousin   _  .,['and']
"Why did Tom and his cousin answer ""no""?",['and']
Anna is Tony's   _   and they are   _  .,['and']
Tony likes   _   and he can play   _  .,['and']
Tony and Anna both like   _  .,['and']
"For breakfast, they like   _  .",['for']
How many places are mentioned  in the passage for people to shop for food now?,['for']
Li Na went to Shanghai and Germany in summer to   _   .,['and']
_   and   _   are from Taiwan.,['and']
. David Beckham's family name is   _  and Zhou Jielun's given name is   _  .,['and']
"After taking part in the activity, students found that   _  .",['after']
"By walking to and from school, children can learn   _  .",['and']
What is the first thing to do if you want to enjoy your walking to school?,['if']
What is NOT mentioned as a part tome job for teens?,"['as', 'for']"
"If Sally goes to Water World with two friends, they should pay  _  .",['if']
A summer bus pass is helpful for teens to   _  .,['for']
Which is a good place for studying?,['for']
"Besides having fun, gap year students have to face the  _",['besides']
All the following words can describe the girl except  _  .,['except']
What do you know about the man and the woman?,['and']
"If you are 9, how long do the scientists advice you to sleep?",['if']
"Besides your picture, you must write about   _  .",['besides']
Most disabled people are begging   along the streets because  _  .,['because']
People have pity on disabled beggars because  _  .,['because']
Todaycan help buses or cars to go regularly in cities .,['or']
The words and music ofAuld Lang Synewe know today first appeared   _  .,['and']
Jack doesn't telephone his mother because  _  .,['because']
"If you buy and read Successful Fishermen, you will   _  .","['if', 'and']"
Charlie went into a cemetery because he   _  .,['because']
The stranger followed Charlie because   _  .,['because']
"From the passage, some people think if they don't have breakfast, they will",['if']
The two brothers wrote down all the stories because   _  .,['because']
"To make money, students tried many things EXCEPT   _  .",['except']
How many children do Gary and Nancy Wilson have?,['and']
"If a girl is in Grade 2 in a general school, what is she learning?",['if']
Why is the Sphinx facing buildings instead of the desert?,['instead']
"If we want to call Peter, we can call him at  _  .",['if']
The band name TFBOYS stands for  _  .,['for']
The band has become popular because  _  ?,['because']
"If the man does not move the ball ten yards,  _  .",['if']
It is a very important sport because   _  .,['because']
As a kid you do the following things EXCEPT  _  .,"['as', 'except']"
Some people use the Internet to shop because   _  .,['because']
"If you want to shop on the Internet, you need   _  .",['if']
We should do less shopping because   _  .,['because']
"If everybody lives a low-carbon life,   _  .",['if']
"When you live in   _  , you won't pay for the breakfast.",['for']
"Sally wants to have fun swimming and enjoying beautiful sunshine, she should call the travel agency at   _  .",['and']
He likes playing  _  and,['and']
An earthquake shook San Francisco in the past because   _  .,['because']
You need   _   at home before an earthquake.,['before']
"_  "" has the same meaning as Sentence A.",['as']
Many people don't like to stay at home on holidays because  _  .,['because']
_  wants to work as a teacher in the program called Reading For Life.,"['as', 'for']"
Why is the traffic jam getting more and more serious?,['and']
"In the USA, people can buy books about food and cooking  _  .",['and']
She likes to eat  _  and bread in the morning.,['and']
She eats  _  for lunch.,['for']
She has  _  for dinner.,['for']
What did NOT people do after the earthquake?,['after']
Which is the best title for this article?,['for']
Helen became blind and deaf when she was   _  .,['and']
Why was Helen always crying and shouting?,['and']
Kate eats   _   for breakfast.,['for']
Tony Brown likes   _   for dinner.,['for']
Cocoa farmers are choosing to grow rubber and corn because these crops  _  .,"['because', 'and']"
Humans can't be cloned because  _  .,['because']
Chengdu has the best teahouses in China because   _  .,['because']
Who will pay for the tea after the mediator solve some problems?,"['after', 'for']"
The author has been in the US for  _  .,['for']
"Every year, school children have the final exams in   _  , and the exam means the school year will end.",['and']
"According to the passage, if a child comes from a big city, he can often   _   in the summer holidays.",['if']
It's the best way for children to go to the   _   to spend their summer holidays.,['for']
People choose self-tracking because   _  .,['because']
Thomas cried because  _,['because']
Katy cried because  _,['because']
Street dancing is a kind of  _  sport for young people.,['for']
"If you want to street dance, you don't need to  _  .",['if']
The best title for the passage may be  _  .,['for']
What's the writer's point about using telephones before the invention of mobile phones?,['before']
What does the writer think about life before mobile phones?,['before']
"In recent years, people can live longer than in the past,It's because of  _  .",['because']
"According to some people, whether a dying patient has the right to die or not is up to  _  .",['or']
Why do some patients want to die? Because  _  .,['because']
Trudy ordered the stamps because   _  .,['because']
Trudy paid for the stamps with   _  .,['for']
Trudy checked the mail every day for   _  .,['for']
Trudy received the stamps   _   after she sent the second letter.,['after']
Wendy and her brothers are in  _,['and']
"Three days before graduation, Bill asked Mark to talk because he  _","['because', 'before']"
Bob was caught so quickly because   _  .,['because']
The little girl didn't eat because   _,['because']
The boys like   _   best after school.,['after']
"If your friend Lisa has a new baby, you may sent  _  .",['if']
Mrs. Green likes the necklace with her child's name because  _  .,['because']
Please choose the best title for this passage  _  .,['for']
The Hunts were poor because   _  .,['because']
Mr. Hunt left the school because   _  .,['because']
Paul and Nick are going to   _  .,['and']
What determines the black and white color of each microsphere?,['and']
The man doesn't want to go out because  _  .,['because']
How much are they if we buy five cakes?,['if']
Which of the following can be the best title   for this passage?,['for']
Mrs.Green was angry with Mr. Green because he  _,['because']
What did the writer buy for his son as a birthday present two years ago?,"['as', 'for']"
What's the best title for Point 5 ?,['for']
The children climbed to the top of the hill because  _  .,['because']
Why does John shout? Because he wants to make   _  hear him.,['because']
His grandmother always made  _  for family and friends.,"['and', 'for']"
"At the age of 60, his grandmother  _  in a hospital for a long time every day.",['for']
Television appears in the classroom and helps the teacher and students in  _  .,['and']
"Does the fresh water come from rivers, lakes and underground?",['and']
The world is thirsty for water because   _  .,"['because', 'for']"
How does she feel after meeting her son?,['after']
The greatest river for navigation is   _  .,['for']
"From a dam, people can use the water for   _  .",['for']
The water in the river is polluted because of   _  .,['because']
"For the students in the small village, it is   _   to get to school.",['for']
Dolores became a   _   after she left college.,['after']
Dolores gave up her first job because   _  .,['because']
What did Mother do with her daughter's letter asking for forgiveness?,['for']
People received a message  _  after Flight 19 took off.,['after']
The man got angry because   _  .,['because']
Young Voices for the Planet made by Lynne is   _  .,['for']
Where are Sam and Sue from?,['and']
I have learned English for   _   years.,['for']
We should speak and listen to English   _  .,['and']
_  writes articles for kids.,['for']
"In the new series of Sherlock, Holmes returns after    _   .",['after']
Why does the old woman give her pictures to a school? Because   _  .,['because']
"Olympics for Eating"" is   _  .",['for']
What's the special food for Thanksgiving Day?,['for']
Many students like to make friends online because   _  .,['because']
Many teachers and parents are worried about their children because   _  .,"['because', 'and']"
Jude can remember the words of a song quickly by listening to it once or twice. She might be a /an   _   according to the passage.,"['once', 'or']"
"According to the survey,in a middle school if a class has 40 students, about   _   smoke.",['if']
From the passage we know   _  smokes two packs per week in middle and high school.,['and']
What would the person get if he  caught the man the police wanted?,['if']
Who caught the man with large mouth and small eyes?,['and']
"The writer advises us to do the following to prepare for a fire, which one is not right?",['for']
"When a fire happens,  _   if you open the hot door.",['if']
What are the right steps you should take when your hair or clothes catch fire?,['or']
John and Bobby were    _   .,['and']
Who became the manager after several years ?,['after']
What's the difference between John and Bobby ?,['and']
What does Cindy like to eat for breakfast?,['for']
What do the children do after the test?,['after']
"After school, what does she do first?",['after']
What does she do before she goes to bed?,['before']
He   _   and lay down and fell asleep soon.,['and']
The man cried and told the monkeys   _  .,['and']
At last the monkeys threw the caps on the ground because   _  .,['because']
When is the best time for study?,['for']
The writer felt sick to his stomach most because  _  .,['because']
"The sentence ""I said a prayer today and you were the answer"" most probably means that  _  .",['and']
"If you are lost in the forest, you should  _  .",['if']
"When a person in America asks ""How are you?"" he or she wants to hear ""  _  "".",['or']
The Snake Catchers catch snakes because   _  .,['because']
What music can make people happy and full of energy?,['and']
The levels of sound is safe or not depends on   _  .,['or']
"From this article, we know we can use the following ways to learn English well except  _  .",['except']
People in Japan like to try new learning activities. Except  _,['except']
Why do so many students in Asia go to study in the USA and Europe?,['and']
What will happen if there is a mistake in a newspaper?,['if']
Why would it be wrong for a newspaper to say that Yang Liwei was the first man to go into space?,['for']
Which can be the BEST title for the passage?,['for']
Sam thanked Mr Lee mainly because Mr Lee,['because']
"After we finish reading Sam's letter, we can infer  that   _  .",['after']
Which is NOT the reason for people moving to the cities in China?,['for']
The mother giraffe puts herself over her child and throws her long leg and kicks her baby because she  _  .,"['because', 'and']"
Why were the police and other drivers so kind to the writer?,['and']
Some students left the classroom because   _  .,['because']
The teacher gave the rest students an A because   _  .,['because']
It is Sunday. Ann and her mother   _  .,['and']
You feel in Macao you are back in the old days because   _  .,['because']
The writer uses blood type A and O as an example to explain   _  .,"['as', 'and']"
Xiao Bao has been famous for   _  .,['for']
Fiona was a very popular girl because she   _  .,['because']
How much should you pay if you want to have a statue of yourself printed?,['if']
How does Mr Brown feel after those animals go out of his house?,['after']
"According to the officer's idea, all the food   _   before they are sold.",['before']
Some peacocks became ill and died because some visitors  _,"['because', 'and']"
Some shops can be built beside Dongfeng Square so that they may  _,['so that']
Mr Scott wanted her sister to help with her because  _  .,['because']
What was the most difficult thing for the author when he was studying English?,['for']
"If a British friend is raised up and down to the floor 18 yimes on his birthday,he is most likely to be  _  .","['if', 'and']"
The following tradition is mentioned in the passage EXCEPT for  _  .,"['except', 'for']"
Fred lost his bone because he was not   _  .,['because']
When did Mo Yan get the Noble Prize for Literature?,['for']
How old was Mo Yan when he got the Noble Prize for Literature?,['for']
How many ways are there if you travel around London ?,['if']
What did the writer's family do for him when he was seven?,['for']
The best title for the passage may be   _  .,['for']
Jeff's right leg was cut off because he had  _  .,['because']
You may find the things except     _   in a Day family's house.,['except']
The mother hippos often go with their children because    _    .,['because']
"When Jack brings some cakes and two eggs to Mrs White's house, she  _  .",['and']
It's not polite for a person to show interest in the   _   life of others.,['for']
The seven girls didn't get wet because   _  .,['because']
What do they want to buy for Mr Smith at first?,['for']
More and more people today   _  .,['and']
People probably take part in dangerous sports nowadays because   _  .,['because']
They often   _   on a bus or in a train.,['or']
The students still remember Mr. Weeks because   _  .,"['because', 'still']"
Mr. Weeks told his students to finish Exercise8 in Lesson1 because   _  .,['because']
Some students' faces turned red because   _  .,['because']
Which is Not suitable for the passage?,['for']
After students mend toilets they save   _  .,['after']
"When someone begins to smoke, there is little you can do except  _",['except']
"If people break the new rule in Beijing, they wil1 have to pay up to  _",['if']
What's the special kind of food for the Spring Festival in China?  _  .,['for']
"If you are eleven and your father takes you to have the Sunday Family Buffet, how much will your father pay ?","['if', 'and']"
"If you are 13, you   _  .",['if']
Mr. and Mrs. Black want to go to   _  .,['and']
Mr. and Mrs. Black leave Bobby in a dog shop because   _  .,"['because', 'and']"
Mr. Black thinks the dog doesn't like the shop because   _  .,['because']
_   has short and straight hair.,['and']
"Before the elevator was invented,buildings were  _  .",['before']
"According to the passage,if you stare at someone in an elevator,he or she may feel  _  .",['or']
"If you have an emergency in an elevator,you should  _  .",['if']
Before going to camp we should first   _  .,['before']
In the evening we build a fire because   _  .,['because']
Before you start the  exam  _,['before']
The paper textbooks should still be widely available because   _  .,"['because', 'still']"
"If you want to run for exercise, you should   _  .","['if', 'for']"
Mr. White and Mrs. White have   _  .,['and']
What happened to Picasso's work after a long time?,['after']
Ma and his team found Alibaba  _  .,['and']
Students in elementary school stay at school for about   _  days.,['for']
"After reading the passage, we can infer (  ) if someone 'looks grey', he   _  .","['if', 'after']"
The old woman let her husband open her shoe box because   _   .,['because']
What was the main reason for air pollution in London?,['for']
The problem of air pollution is more difficult for Chinese cities to solve because of   _   reasons.,"['because', 'for']"
"The father isn't happy, because   _  .",['because']
"The boy thinks about what his father says, but he still doesn't know   _  .","['but', 'still']"
Mrs. Brown took  _  to look for her brother.,['for']
"The sentences "" But she always hides them behind a pair of black glasses."" Really means   _  .",['but']
The writer felt sad because   _   in the Chinese test.,['because']
Vanilla left the writer because she   _  .,['because']
"Which of the following phrases has the same meaning as ""make fun of""?",['as']
People started to plant community gardens because  _  .,['because']
What do sponsors do for community gardens?,['for']
Shanghai had to close all the schools that day because of   _  .,['because']
What did Shanghai Aiguo School do with Shen Sheng and some other students when they still came to school that day?,"['still', 'and']"
"If an adult with his child goes to Beijing Theater to watch A world Without Thieves on Sunday, they will spend   _   on the film.",['if']
"If you are free on Friday morning, you can see the film   _   in Beijing Theater.",['if']
You can see three films on   _   or   _  .,['or']
"From the poster , we know   _   is both a director and actor.",['and']
The writer thinks it is  _   for teenagers to learn to do chores.,['for']
James Corbin became a blacksmith because he  _  .,['because']
Which is NOT good for improving memory according to the passage?,['for']
"Before getting Millie, Harry .",['before']
"According to Maureen Hennis, Millie was able to help Harry because .",['because']
Which of the following would be a good title for this article?,['for']
